id,ley,resumen,ciudad,fecha_aprobacion,fecha_promulgacion,url,tema,subtemas,latitud,longitud
lp_1,00540,"PATRIMONIO TANGIBLE E INTANGIBLE.- Se Declara Patrimonio Cultural del Municipio de La Paz a la Entrada Folclórica de las más de Veinte Comunidades y Ayllus Indígenas Originarios de la Marka ""La Cumbre"".",La Paz,30/11/2024,05/02/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00540.pdf,"patrimonio, cultura y turismo",Efemérides y festividades,-16.412378233151387,-68.01412826689509
lp_2,00542,"IMPUESTOS, TASAS Y PATENTES.- La presente Ley Municipal Autonómica tiene por objeto establecer un periodo voluntario de regularización y condonación tributaria que beneficie a los sujetos pasivos o terceros responsables del Impuesto Municipal a la Propiedad de Bienes Inmuebles (IMPBI); Impuesto Municipal a la Propiedad de Vehículos Automotores Terrestres (IMPVAT); Impuesto Municipal a las Transferencias (IMT); Impuesto Municipal a las Transferencias Onerosas (IMTO); y Patentes Municipales.",La Paz,02/12/2024,13/02/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00542.pdf,impuestos,"Condonación de multas, intereses y deudas tributarias",,
lp_3,00543,"Se REFRENDA el Artículo 1 de la Resolución Ejecutiva Nº 1082/2024 de 09 de diciembre de 2024 que declara la ampliación de la vigencia de la SITUACIÓN DE EMERGENCIA Y ALERTA ROJA EN EL MUNICIPIO DE LA PAZ establecida en la Resolución Ejecutiva Nº 0182/2024 de fecha 10 de marzo de 2024, refrendada mediante Ley Municipal Autonómica Nº 516 de 12 de marzo de 2024.",La Paz,27/12/2024,30/01/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00543.pdf,gestión de riesgos,"emergencia municipal por lluvias, inundaciones y deslizamientos",-16.51735614993101,-68.08908298621256
lp_4,00544,"PATRIMONIO TANGIBLE E INTANGIBLE.- Se Declarar Patrimonio Histórico, Arquitectónico y Urbano del Municipio de La Paz, al inmueble emplazado en la Zona Sopocachi, Macrodistrito I Cotahuma, Distrito Municipal Nº 3.",La Paz,29/01/2025,25/02/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00544.pdf,"patrimonio, cultura y turismo",Declaración de patrimonio tangible o intangible,-16.507149073461413,-68.12929132923544
lp_5,00545,"PATRIMONIO TANGIBLE E INTANGIBLE.- Declarar Patrimonio Histórico, Arquitectónico y Urbano del Municipio de La Paz, al inmueble ubicado en el Macrodistrito I Cotahuma, Distrito Municipal Nº 6, zona Central.",La Paz,30/1/2025,,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00545.pdf,"patrimonio, cultura y turismo",Declaración de patrimonio tangible o intangible,-16.49816480148218,-68.13701763686184
lp_6,00546,"PATRIMONIO TANGIBLE E INTANGIBLE.- Declarar Patrimonio Histórico, Arquitectónico y Urbano del Municipio de La Paz, al inmueble emplazado en la Zona Sopocachi, Macrodistrito I Cotahuma, Distrito Municipal N° 3,""UNIDAD EDUCATIVA REPÚBLICA DEL ECUADOR - UNIDAD EDUCATIVA REPÚBLICA DE COLOMBIA"".",La Paz,30/01/2025,28/02/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00546.pdf,"patrimonio, cultura y turismo",Declaración de patrimonio tangible o intangible,-16.508571985832567,-68.12655314828157
lp_7,00547,"BIENES MUNICIPALES.- Se Autoriza la enajenación a título oneroso a favor de María Margarita Mallea Peñaloza con Cédula de Identidad No. 2298584 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con Código de Registro Catastral No. 001-0898-0007, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 203,80 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real Nº2.01.o.99.0023954.",La Paz,20/02/2025,19/03/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250002_2025_00547.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.478795838792138,-68.14861356922967
lp_8,00548,"BIENES MUNICIPALES.- Se Autorizar la enajenación a título oneroso a favor de Cristina Calsina Mamani con No. de cédula de identidad 2391223 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001- 0885-0026, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 191,10 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real Nº 2.01.0.99.0023954.",La Paz,20/02/2025,21/03/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250002_2025_00548.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.478795838792138,-68.14861356922967
lp_9,00549,"BIENES MUNICIPALES.- Se Autorizar la enajenación a título oneroso a favor de Vicente Mercado Enríquez del predio de propiedad del Gobierno Autónomo Municipal de La Paz, lote con Código Catastral No. 001-0883-0001, ubicado en la calle Las Retamas No. S/N - Pasaje Los Sauces del Macrodistrito III - Periférica, inmerso en la Planimetría de la Remodelación ""Anexo Las Nieves Salomé"", con una superficie de 228,89 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real Nº 2.01.0.99.0023954.",La Paz,20/02/2025,19/03/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250002_2025_00549.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.496506976216622,-68.08865517711799
lp_10,00550,"ÁREAS VERDES,PARQUES,PLAZAS Y FORESTACIÓN.- La presente Ley Autonómica tiene por objeto elevar a rango de Ley Municipal Autonómica la Ordenanza Municipal Nº047/2007 de 7 de febrero de 2007, así como ratificar el Convenio y Adenda Nº 1 suscritos por el Ministerio de Desarrollo Productivo y Economía Plural y el Gobierno Autónomo Municipal de La Paz, para su ejecución del proyecto ""Restauración y Refuncionalización como Uso Turístico de la Infraestructura de la Unidad Educativa San Simón de Ayacucho de La Paz"".",La Paz,20/02/2025,19/03/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250002_2025_00550.pdf,"patrimonio, cultura y turismo",Preservación del patrimonio o difusión de las artes,-16.293881,-68.080319
